ANT1,46.81,78.20,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,38.97,81.94,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,44.77,63.74,271.40,10uF,NORDIC_NRF_3_RESC0402_L
C10,34.23,84.45,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,38.72,81.03,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,36.98,73.90,270.90,100nF,NORDIC_NRF_3_RESC0201_L
C13,35.15,83.34,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,35.32,85.31,88.90,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,40.75,80.70,0.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,32.55,82.57,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,28.24,81.85,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,31.05,82.98,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,14.58,88.55,183.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,35.15,87.10,270.10,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,21.17,86.07,179.90,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,32.66,73.58,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,30.08,73.74,181.40,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,42.59,76.21,268.80,N.C.,NORDIC_NRF_3_RESC0201_L
C23,12.28,95.12,0.30,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,9.93,94.83,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,16.84,94.01,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,34.18,70.09,179.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,38.83,68.40,0.00,1uF,NORDIC_NRF_3_RESC0201_L
C3,39.82,76.51,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,18.18,68.90,0.00,1uF,NORDIC_NRF_3_RESC0201_L
